,Unnamed: 0,path,choice_Petr,choice_Eugene,origin,output_classes,organoid/background_ratio,image_is_empty,new_filename,usage
0,2,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/A03_1.png,retina,non-retina,may_25,,0.05852096181329355,False,unclassified_0.png,not_used
1,3,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/A04_1.png,retina,non-retina,may_25,,0.06379026206843967,False,unclassified_1.png,not_used
2,4,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/A05_1.png,retina,non-retina,may_25,,0.06818000055635144,False,unclassified_2.png,not_used
3,6,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/A07_1.png,retina,satisfactory,may_25,,0.060467428367262925,False,unclassified_3.png,not_used
4,10,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/A11_1.png,retina,satisfactory,may_25,,0.08293468796378878,False,unclassified_4.png,not_used
5,11,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/A12_1.png,retina,satisfactory,may_25,,0.06366059941476078,False,unclassified_5.png,not_used
6,12,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/B01_1.png,retina,non-retina,may_25,,0.058181554864382125,False,unclassified_6.png,not_used
7,14,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/B03_1.png,retina,satisfactory,may_25,,0.0629991703228466,False,unclassified_7.png,not_used
8,15,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/B04_1.png,retina,satisfactory,may_25,,0.07196357248359103,False,unclassified_8.png,not_used
9,16,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/B05_1.png,retina,satisfactory,may_25,,0.06659080497140409,False,unclassified_9.png,not_used
10,18,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/B07_1.png,retina,satisfactory,may_25,,0.07920499542297273,False,unclassified_10.png,not_used
11,23,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/B12_1.png,retina,satisfactory,may_25,,0.07615765370253579,False,unclassified_11.png,not_used
12,24,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/C01_1.png,retina,satisfactory,may_25,,0.05888709644061136,False,unclassified_12.png,not_used
13,25,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/C02_1.png,retina,non-retina,may_25,,0.06233877864800196,False,unclassified_13.png,not_used
14,35,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/C12_1.png,retina,satisfactory,may_25,,0.07832268482763463,False,unclassified_14.png,not_used
15,37,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/D02_1.png,retina,satisfactory,may_25,,0.07140172834575984,False,unclassified_15.png,not_used
16,38,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/D03_1.png,retina,satisfactory,may_25,,0.08320686125719126,False,unclassified_16.png,not_used
17,46,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/D11_1.png,retina,satisfactory,may_25,,0.08470386969260145,False,unclassified_17.png,not_used
18,47,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/D12_1.png,retina,satisfactory,may_25,,0.08029117507428833,False,unclassified_18.png,not_used
19,49,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/E02_1.png,satisfactory,satisfactory,may_25,,0.0811033390523954,False,unclassified_19.png,not_used
20,58,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/E11_1.png,retina,satisfactory,may_25,,0.0862847368025566,False,unclassified_20.png,not_used
21,67,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/F08_1.png,retina,satisfactory,may_25,,0.08366388281336885,False,unclassified_21.png,not_used
22,68,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/F09_1.png,retina,satisfactory,may_25,,0.08253096608543536,False,unclassified_22.png,not_used
23,71,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/F12_1.png,retina,satisfactory,may_25,,0.0758701969845955,False,unclassified_23.png,not_used
24,73,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/G02_1.png,retina,satisfactory,may_25,,0.058663356943002135,False,unclassified_24.png,not_used
25,78,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/G07_1.png,retina,satisfactory,may_25,,0.08581872353826855,False,unclassified_25.png,not_used
26,79,rxGFP_may25/Eugene/bf_d6/pl1/Scan _MyScan_ 2019-05-31 14.09.29/G08_1.png,retina,satisfactory,may_25,,0.07765833600576366,False,unclassified_26.png,not_used
