 Name                  Version   License                                    
 Keras                 2.3.1     MIT                                        
 Keras-Applications    1.0.8     MIT                                        
 Keras-Preprocessing   1.1.0     MIT                                        
 Markdown              3.1.1     BSD License                                
 Pillow                6.2.1     HPND                                       
 PyYAML                5.1.2     MIT                                        
 Pygments              2.4.2     BSD License                                
 Werkzeug              0.16.0    BSD-3-Clause                               
 absl-py               0.8.1     Apache 2.0                                 
 astor                 0.8.0     BSD-3-Clause                               
 backcall              0.1.0     BSD                                        
 cycler                0.10.0    BSD                                        
 decorator             4.4.0     new BSD License                            
 gast                  0.3.2     BSD 3-Clause                               
 google-pasta          0.1.7     Apache 2.0                                 
 grpcio                1.24.3    Apache License 2.0                         
 h5py                  2.10.0    BSD                                        
 ipykernel             5.1.3     BSD                                        
 ipython               7.8.0     BSD                                        
 ipython-genutils      0.2.0     BSD                                        
 jedi                  0.15.1    MIT                                        
 joblib                0.14.0    BSD                                        
 jupyter-client        5.3.4     BSD                                        
 jupyter-core          4.6.0     BSD                                        
 kiwisolver            1.1.0     BSD                                        
 matplotlib            3.1.1     PSF                                        
 numpy                 1.17.3    BSD                                        
 opencv-python         4.1.1.26  MIT                                        
 pandas                0.25.2    BSD                                        
 parso                 0.5.1     MIT                                        
 patsy                 0.5.1     2-clause BSD                               
 pexpect               4.7.0     ISC license                                
 pickleshare           0.7.5     MIT                                        
 prompt-toolkit        2.0.10    BSD-3-Clause                               
 protobuf              3.10.0    3-Clause BSD License                       
 ptyprocess            0.6.0     ISC                                    
 pydot                 1.4.1     MIT                                        
 pyparsing             2.4.2     MIT License                                
 python-dateutil       2.8.0     Dual License                               
 pytz                  2019.3    MIT                                        
 pyzmq                 18.1.0    LGPL+BSD                                   
 scikit-learn          0.21.3    new BSD                                    
 scipy                 1.3.1     BSD                                        
 six                   1.12.0    MIT                                        
 sklearn               0.0       BSD                                    
 statsmodels           0.11.0    BSD License                                
 tensorboard           1.14.0    Apache 2.0                                 
 tensorflow-estimator  1.14.0    Apache 2.0                                 
 tensorflow-gpu        1.14.0    Apache 2.0                                 
 termcolor             1.1.0     MIT                                        
 tornado               6.0.3     http://www.apache.org/licenses/LICENSE-2.0 
 traitlets             4.3.3     BSD                                        
 wcwidth               0.1.7     MIT                                        
 wrapt                 1.11.2    BSD                                        
